,model_id,task,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc IID, ablated acc IID,random ablate acc mean IID,random ablate acc std IID
0,e1c1bb9a-8b39-4cdb-9d85-fa44b0452287,syntactic_number,2000,1000,500,0.001,0,0,0,attn,-1,0.0,gpt2,0.6945830583572388,0.6951452493667603,0.5015015015015015,0.5015015015015015,0.5,0.5,0.5515515515515516,0.536,0.0,2359296,0.953,0.953,0.953,0.0
1,e6912455-765f-4fef-82ce-c91cadb881cb,syntactic_number,2000,1000,500,0.001,0,0,0,mlp,-1,0.0,gpt2,0.2520911507308483,0.25106676667928696,1.0,0.5015015015015015,1.0,0.5,0.7117117117117117,0.697,377856.0,4718592,0.953,0.512,0.9263999999999999,0.023601694854395495
2,f57e929d-1c59-408f-acea-2858ed8c3138,syntactic_number,2000,1000,500,0.001,0,0,1,attn,-1,0.0,gpt2,0.26598163694143295,0.2778102606534958,1.0,0.5015015015015015,0.998,0.5,0.5265265265265265,0.521,373248.0,2359296,0.953,0.899,0.9330000000000002,0.011331372379372198
3,4d59b035-bfc9-4b04-8516-60a1286edffd,syntactic_number,2000,1000,500,0.001,0,0,1,mlp,-1,0.0,gpt2,0.30607662349939346,0.30514363944530487,1.0,0.5015015015015015,1.0,0.5,0.5380380380380381,0.517,360192.0,4718592,0.953,0.93,0.9475999999999999,0.00902441133814275
4,bbdfb9be-dcf0-443d-b335-23d638f3a6bf,syntactic_number,2000,1000,500,0.001,0,0,2,attn,-1,0.0,gpt2,0.3384244218468666,0.3424094617366791,1.0,0.5015015015015015,1.0,0.5,0.508008008008008,0.499,433152.0,2359296,0.953,0.917,0.9374,0.02006589145789439
5,a883b45c-1cf2-460e-8c8e-92c5cd1a94fd,syntactic_number,2000,1000,500,0.001,0,0,2,mlp,-1,0.0,gpt2,0.4036126583814621,0.4058593660593033,1.0,0.5015015015015015,1.0,0.5,0.7162162162162162,0.703,269568.0,4718592,0.953,0.909,0.9522,0.004166533331199936
6,095bef38-197d-4d42-b213-e43beba2c457,syntactic_number,2000,1000,500,0.001,0,0,3,attn,-1,0.0,gpt2,0.17904994636774063,0.18014513701200485,1.0,0.5015015015015015,1.0,0.5,0.494994994994995,0.48,390144.0,2359296,0.953,0.976,0.942,0.013535139452550875
7,7ad92d90-aab8-4a77-88eb-728c250572f4,syntactic_number,2000,1000,500,0.001,0,0,3,mlp,-1,0.0,gpt2,0.25447190552949905,0.2557523101568222,1.0,0.5015015015015015,1.0,0.5,0.6226226226226226,0.618,228096.0,4718592,0.953,0.943,0.9559999999999998,0.004242640687119289
8,afd400f8-3539-475c-ab9a-0c3310a72be0,syntactic_number,2000,1000,500,0.001,0,0,4,attn,-1,0.0,gpt2,0.189540047198534,0.1893274337053299,1.0,0.5015015015015015,1.0,0.5,0.5095095095095095,0.495,420096.0,2359296,0.953,0.963,0.9346,0.016353592877407667
9,9e052f5b-4f30-4189-88e9-25cea3c2a57e,syntactic_number,2000,1000,500,0.001,0,0,4,mlp,-1,0.0,gpt2,0.5522373467683792,0.5521044731140137,1.0,0.5015015015015015,1.0,0.5,0.6236236236236237,0.601,437760.0,4718592,0.953,0.954,0.944,0.008876936408468828
10,d2fb2057-2dfa-483d-aac3-84fcf5cef127,syntactic_number,2000,1000,500,0.001,0,0,5,attn,-1,0.0,gpt2,0.1755485199391842,0.17727241665124893,1.0,0.5015015015015015,1.0,0.5,0.536036036036036,0.528,395520.0,2359296,0.953,0.951,0.9380000000000001,0.011661903789690568
11,39235ce8-d215-4243-9b3c-7e94b707fb0b,syntactic_number,2000,1000,500,0.001,0,0,5,mlp,-1,0.0,gpt2,0.5282336175441742,0.525954008102417,0.9194194194194194,0.5015015015015015,0.926,0.5,0.6816816816816816,0.66,271104.0,4718592,0.953,0.939,0.9496,0.01085541339608951
12,82b72726-dc8a-4eee-98b1-783a6f298769,syntactic_number,2000,1000,500,0.001,0,0,6,attn,-1,0.0,gpt2,0.22700128704309464,0.22954408824443817,0.9964964964964965,0.5015015015015015,0.996,0.5,0.5105105105105106,0.506,370944.0,2359296,0.953,0.94,0.8672000000000001,0.08966470877664186
13,73267512-32c5-4ced-adcd-4209fab1cdfa,syntactic_number,2000,1000,500,0.001,0,0,6,mlp,-1,0.0,gpt2,0.3313707485795021,0.3341952711343765,0.9464464464464465,0.5015015015015015,0.948,0.5,0.6506506506506506,0.628,420096.0,4718592,0.953,0.945,0.9583999999999999,0.005678027826631362
14,916481c3-abba-453e-9b6c-94f09e2fe5c3,syntactic_number,2000,1000,500,0.001,0,0,7,attn,-1,0.0,gpt2,0.21326081082224846,0.21283789724111557,0.9984984984984985,0.5015015015015015,1.0,0.5,0.5430430430430431,0.518,390144.0,2359296,0.953,0.984,0.9104000000000001,0.019011575421305847
15,9b0fbdf2-55bf-4497-a996-8a036fb4d024,syntactic_number,2000,1000,500,0.001,0,0,7,mlp,-1,0.0,gpt2,0.592757984995842,0.5950025916099548,0.9229229229229229,0.5015015015015015,0.916,0.5,0.6896896896896897,0.659,424704.0,4718592,0.953,0.95,0.9488,0.0061773780845922055
16,4b7edea5-5d0e-4f2e-8c66-29985737138b,syntactic_number,2000,1000,500,0.001,0,0,8,attn,-1,0.0,gpt2,0.266634039580822,0.2675158977508545,0.958958958958959,0.5015015015015015,0.964,0.5,0.506006006006006,0.501,303360.0,2359296,0.953,0.917,0.925,0.023891421054428704
17,49d0656d-6d08-4cf7-ad04-e7102dd8d9ff,syntactic_number,2000,1000,500,0.001,0,0,8,mlp,-1,0.0,gpt2,0.4174513965845108,0.4190147817134857,1.0,0.5015015015015015,1.0,0.5,0.8688688688688688,0.861,549888.0,4718592,0.953,0.726,0.9465999999999999,0.004176122603564224
18,bb40c752-4c75-40bd-8ce0-246596144609,syntactic_number,2000,1000,500,0.001,0,0,9,attn,-1,0.0,gpt2,0.31427064538002014,0.32011672854423523,0.9974974974974975,0.5015015015015015,0.998,0.5,0.495995995995996,0.497,311808.0,2359296,0.953,0.959,0.9517999999999999,0.002638181191654586
19,d3aa0685-9f16-41a6-83e3-e2bb95c8422d,syntactic_number,2000,1000,500,0.001,0,0,9,mlp,-1,0.0,gpt2,0.48928140848875046,0.496367871761322,0.7532532532532532,0.5015015015015015,0.742,0.5,0.7282282282282282,0.732,581376.0,4718592,0.953,0.938,0.9491999999999999,0.007652450587883603
20,1452092d-62a6-44c9-a322-51df034b4cdb,syntactic_number,2000,1000,500,0.001,0,0,10,attn,-1,0.0,gpt2,0.14382898434996605,0.15051036328077316,0.9984984984984985,0.5015015015015015,0.995,0.5,0.5540540540540541,0.548,258816.0,2359296,0.953,0.941,0.9565999999999999,0.007002856560004645
21,98003416-d90f-41f7-abf2-843a6412f476,syntactic_number,2000,1000,500,0.001,0,0,10,mlp,-1,0.0,gpt2,0.28010398149490356,0.2835041731595993,0.9944944944944945,0.5015015015015015,0.996,0.5,0.6591591591591591,0.633,376320.0,4718592,0.953,0.858,0.9512,0.0014696938456699082
22,eadd70e0-3678-4886-be01-2e8e0622f8cf,syntactic_number,2000,1000,500,0.001,0,0,11,attn,-1,0.0,gpt2,0.20469888299703598,0.20505213737487793,0.990990990990991,0.5015015015015015,0.991,0.5,0.6226226226226226,0.614,148224.0,2359296,0.953,0.957,0.9549999999999998,0.003346640106136305
23,c4a01f1a-2154-4042-b8bc-f7c17a332276,syntactic_number,2000,1000,500,0.001,0,0,11,mlp,-1,0.0,gpt2,0.48335643112659454,0.4792138934135437,0.9324324324324325,0.5015015015015015,0.929,0.5,0.6006006006006006,0.593,221184.0,4718592,0.953,0.958,0.9501999999999999,0.00479165942028438
